유형,태그,건수
FP_오탐,ABテスト,4
FP_오탐,대시보드,2
FP_오탐,통계분석,1
FN_누락,kafka,2
FN_누락,tableau,2
FN_누락,rest,1
FN_누락,msa,1
FN_누락,numpy,1
FN_누락,pyspark,1
FN_누락,pandas,1
FN_누락,apache kafaka,1
FN_누락,apache flink,1
FN_누락,spring boot,1
FN_누락,apache airflow,1
FN_누락,argocd,1
FN_누락,fastapi,1
FN_누락,quicksight,1
FN_누락,athena,1
FN_누락,node.js,1
FN_누락,분류,1
FN_누락,회귀,1
FN_누락,cnn,1
FN_누락,rnn,1
FN_누락,모바일,1
FN_누락,ai acceleratior,1
FN_누락,iot,1
FN_누락,low-bit,1
FN_누락,edge ai,1
FN_누락,임베디드,1
FN_누락,efficient ai,1
FN_누락,model compression,1
FN_누락,sprong,1
FN_누락,rest api,1
FN_누락,grafana,1
FN_누락,elk/loki,1
FN_누락,prometheus,1
FN_누락,sqlp,1
FN_누락,dap,1
FN_누락,dasp,1
FN_누락,sqld 등 자격증,1
FN_누락,ansys,1
FN_누락,mssql,1
FN_누락,mariadb,1
FN_누락,c,1
FN_누락,llm api,1
FN_누락,polarization,1
FN_누락,label-free imaging(holotomography,1
FN_누락,quantitative phase,1
FN_누락,power bi,1
FN_누락,excel,1
