유형,태그,건수
FP_오탐,A/B테스트,5
FP_오탐,SQL,5
FP_오탐,대시보드,5
FP_오탐,대용량데이터처리,3
FP_오탐,Tableau,3
FP_오탐,임베디드,3
FP_오탐,Pandas,2
FP_오탐,분류,2
FP_오탐,Node.js,2
FP_오탐,회귀,2
FP_오탐,데이터품질관리,2
FP_오탐,Grafana,2
FP_오탐,IoT,2
FP_오탐,Excel,2
FP_오탐,Python,2
FP_오탐,AI Agent,1
FP_오탐,PySpark,1
FP_오탐,Spark,1
FP_오탐,Prometheus,1
FP_오탐,SpringBoot,1
FP_오탐,VectorDB,1
FP_오탐,LLM API,1
FP_오탐,FastAPI,1
FP_오탐,NumPy,1
FP_오탐,MLOps,1
FP_오탐,모델서빙배포,1
FP_오탐,REST API,1
FP_오탐,MySQL,1
FP_오탐,ArgoCD,1
FP_오탐,C++,1
FP_오탐,통계분석,1
FP_오탐,R,1
FP_오탐,Athena,1
FN_누락,JavaScript,2
FN_누락,모바일,1
FN_누락,ansys,1
FN_누락,quantitative phase,1
FN_누락,label-free imaging(holotomography,1
FN_누락,polarization,1
