canonical,category,field,ds,de,mle,da,전체
Python,languages,1,138,191,290,38,657
협업커뮤니케이션,experience_narrative,3,128,187,250,40,605
LLM,llm_genai,2,77,111,269,6,463
파이프라인설계운영,experience_narrative,2,87,155,210,7,459
AI Agent,llm_genai,2,70,108,224,12,414
AWS,infra,1,48,116,109,8,281
SQL,languages,1,72,122,30,53,277
PyTorch,ml_frameworks,1,55,36,181,3,275
데이터품질관리,experience_narrative,2,53,111,52,20,236
RAG,llm_genai,2,37,63,131,2,233
모델서빙배포,experience_narrative,2,38,44,147,3,232
MLOps,experience_narrative,2,51,55,123,1,230
대용량데이터처리,experience_narrative,2,48,93,51,16,208
ComputerVision,cv,2,21,30,129,0,180
Docker,infra,1,27,60,88,0,175
Git,infra,1,30,52,86,1,169
대시보드,experience_narrative,2,47,65,20,34,166
Kubernetes,infra,1,27,70,67,0,164
GCP,infra,1,24,67,70,1,162
A/B테스트,experience_narrative,2,42,29,51,28,150
Airflow,data_pipeline,1,28,81,27,7,143
파인튜닝,llm_genai,2,30,27,83,1,141
TensorFlow,ml_frameworks,1,35,14,85,3,137
시계열분석,experience_narrative,2,43,28,63,2,136
통계분석,experience_narrative,2,44,29,33,20,126
VLM,cv,2,13,17,82,0,112
멀티모달,cv,2,17,25,68,1,111
Spark,data_pipeline,1,25,56,23,4,108
CI/CD,infra,1,11,45,50,0,106
데이터모델링,experience_narrative,2,20,58,21,5,104
C++,languages,1,9,12,82,0,103
VectorDB,datastores,1,14,40,46,0,100
ETL/ELT,data_pipeline,2,19,59,16,3,97
Linux,infra,1,10,34,49,0,93
분류,ml_concepts,2,18,19,49,1,87
NLP,llm_genai,2,19,17,48,0,84
LLM평가,llm_genai,2,13,16,53,1,83
C,languages,1,14,14,48,5,81
vLLM,infra,1,7,18,54,0,79
Azure,infra,1,12,37,27,1,77
BigQuery,datastores,1,16,38,10,12,76
FastAPI,backend,1,10,20,44,0,74
Kafka,data_pipeline,1,11,50,13,0,74
프롬프트엔지니어링,llm_genai,2,9,14,47,1,71
PostgreSQL,datastores,1,13,35,22,0,70
Snowflake,datastores,1,23,39,4,4,70
Excel,bi_viz,1,6,38,15,9,68
LLM API,llm_genai,2,5,22,41,0,68
Java,languages,1,5,35,25,0,65
Tableau,bi_viz,1,16,21,3,24,64
이상탐지,experience_narrative,2,14,13,36,1,64
임베딩,llm_genai,2,13,19,32,0,64
REST API,backend,1,8,26,26,1,61
ONNX,ml_frameworks,1,5,7,47,0,59
MLflow,infra,1,10,16,32,0,58
MCP,llm_genai,2,10,10,34,3,57
Tool Use,llm_genai,2,9,13,29,0,51
dbt,data_pipeline,1,14,33,2,2,51
Go,languages,1,6,21,20,1,48
Terraform,infra,1,4,30,13,0,47
Pandas,ml_frameworks,1,18,9,17,2,46
임베디드,ml_concepts,2,5,7,33,1,46
HuggingFace,ml_frameworks,1,8,8,29,0,45
MySQL,datastores,1,10,22,12,1,45
회귀,ml_concepts,2,12,7,25,1,45
TypeScript,languages,1,3,11,28,0,42
Databricks,data_pipeline,1,6,25,7,3,41
scikit-learn,ml_frameworks,1,17,6,16,2,41
Grafana,bi_viz,1,6,27,6,0,39
R,languages,1,11,9,8,10,38
NumPy,ml_frameworks,1,13,4,16,2,35
ElasticSearch,datastores,1,2,19,11,0,32
Flink,data_pipeline,1,5,23,4,0,32
IoT,ml_concepts,2,9,9,14,0,32
SpringBoot,backend,1,4,12,14,0,30
Node.js,backend,1,4,12,12,0,28
CNN,ml_concepts,2,6,2,19,0,27
Prometheus,infra,1,6,19,2,0,27
Athena,infra,1,8,10,3,5,26
Redshift,datastores,1,6,16,2,2,26
Redis,datastores,1,2,10,13,0,25
Kotlin,languages,1,2,9,13,0,24
EdgeAI,ml_concepts,2,3,4,16,0,23
Iceberg,data_pipeline,1,5,17,1,0,23
MongoDB,datastores,1,3,12,8,0,23
JavaScript,languages,1,5,11,6,0,22
PowerBI,bi_viz,1,7,6,2,4,19
PySpark,data_pipeline,1,8,9,2,0,19
MSA,backend,1,5,6,7,0,18
Scala,languages,1,1,14,2,0,17
ArgoCD,infra,1,1,7,7,0,15
ELK,infra,1,2,12,1,0,15
RNN,ml_concepts,2,6,0,7,0,13
Oracle,datastores,1,3,8,0,0,11
C#,languages,1,2,3,4,0,9
Rust,languages,1,1,3,5,0,9
QuickSight,bi_viz,1,3,4,0,1,8
DAP,certifications,1,1,4,1,0,6
SQLP,certifications,1,2,3,1,0,6
DASP,certifications,1,1,4,0,0,5
MariaDB,datastores,1,1,4,0,0,5
SQLD,certifications,1,0,4,1,0,5
ADsP,certifications,1,0,1,1,1,3
Nifi,data_pipeline,1,0,2,0,0,2
MSSQL,datastores,1,0,1,0,0,1
