canonical,직무,신입가능,경력요구,미기재,신입가능%,경력요구%
LLM,da,0,6,0,0.0,100.0
PyTorch,da,0,3,0,0.0,100.0
R,da,0,10,0,0.0,100.0
TensorFlow,da,0,3,0,0.0,100.0
모델서빙배포,da,0,3,0,0.0,100.0
파이프라인설계운영,da,0,7,0,0.0,100.0
PowerBI,da,0,4,0,0.0,100.0
Athena,da,0,5,0,0.0,100.0
Databricks,da,0,3,0,0.0,100.0
AWS,da,0,8,0,0.0,100.0
Airflow,da,0,7,0,0.0,100.0
ETL/ELT,da,0,3,0,0.0,100.0
데이터모델링,da,0,5,0,0.0,100.0
Snowflake,da,0,4,0,0.0,100.0
Spark,da,0,4,0,0.0,100.0
Tableau,da,0,23,1,0.0,95.8
데이터품질관리,da,1,19,0,5.0,95.0
통계분석,da,1,19,0,5.0,95.0
협업커뮤니케이션,da,3,37,0,7.5,92.5
AI Agent,da,1,11,0,8.3,91.7
SQL,da,6,46,1,11.3,86.8
대시보드,da,6,28,0,17.6,82.4
Python,da,7,31,0,18.4,81.6
A/B테스트,da,6,22,0,21.4,78.6
대용량데이터처리,da,4,12,0,25.0,75.0
BigQuery,da,4,8,0,33.3,66.7
Excel,da,2,6,1,22.2,66.7
MCP,da,1,2,0,33.3,66.7
C,da,2,3,0,40.0,60.0
Iceberg,de,0,17,0,0.0,100.0
MSA,de,0,6,0,0.0,100.0
Prometheus,de,0,19,0,0.0,100.0
Scala,de,0,14,0,0.0,100.0
NumPy,de,0,4,0,0.0,100.0
Pandas,de,0,9,0,0.0,100.0
Redshift,de,0,16,0,0.0,100.0
PowerBI,de,0,6,0,0.0,100.0
MLflow,de,0,16,0,0.0,100.0
Redis,de,0,10,0,0.0,100.0
ArgoCD,de,0,7,0,0.0,100.0
Node.js,de,0,12,0,0.0,100.0
PySpark,de,0,9,0,0.0,100.0
QuickSight,de,0,4,0,0.0,100.0
Oracle,de,0,8,0,0.0,100.0
MariaDB,de,0,4,0,0.0,100.0
SQLD,de,0,4,0,0.0,100.0
DAP,de,0,4,0,0.0,100.0
DASP,de,0,4,0,0.0,100.0
SQLP,de,0,3,0,0.0,100.0
C#,de,0,3,0,0.0,100.0
데이터모델링,de,1,57,0,1.7,98.3
Kafka,de,1,49,0,2.0,98.0
Terraform,de,1,29,0,3.3,96.7
ETL/ELT,de,2,57,0,3.4,96.6
Spark,de,2,54,0,3.6,96.4
Airflow,de,3,78,0,3.7,96.3
Grafana,de,1,26,0,3.7,96.3
Flink,de,1,22,0,4.3,95.7
Kubernetes,de,3,67,0,4.3,95.7
FastAPI,de,1,19,0,5.0,95.0
ElasticSearch,de,1,18,0,5.3,94.7
CI/CD,de,3,42,0,6.7,93.3
이상탐지,de,1,12,0,7.7,92.3
REST API,de,2,24,0,7.7,92.3
SpringBoot,de,1,11,0,8.3,91.7
ELK,de,1,11,0,8.3,91.7
대용량데이터처리,de,8,85,0,8.6,91.4
PostgreSQL,de,3,32,0,8.6,91.4
JavaScript,de,1,10,0,9.1,90.9
Tableau,de,2,19,0,9.5,90.5
데이터품질관리,de,8,100,3,7.2,90.1
Docker,de,6,54,0,10.0,90.0
Athena,de,1,9,0,10.0,90.0
MCP,de,1,9,0,10.0,90.0
AWS,de,12,104,0,10.3,89.7
SQL,de,13,109,0,10.7,89.3
MLOps,de,6,49,0,10.9,89.1
Kotlin,de,1,8,0,11.1,88.9
R,de,1,8,0,11.1,88.9
IoT,de,1,8,0,11.1,88.9
Java,de,4,31,0,11.4,88.6
Git,de,6,46,0,11.5,88.5
파이프라인설계운영,de,18,137,0,11.6,88.4
Databricks,de,3,22,0,12.0,88.0
dbt,de,4,29,0,12.1,87.9
VectorDB,de,5,35,0,12.5,87.5
AI Agent,de,14,94,0,13.0,87.0
BigQuery,de,5,33,0,13.2,86.8
Python,de,26,165,0,13.6,86.4
모델서빙배포,de,6,38,0,13.6,86.4
LLM API,de,3,19,0,13.6,86.4
MySQL,de,3,19,0,13.6,86.4
대시보드,de,9,56,0,13.8,86.2
시계열분석,de,4,24,0,14.3,85.7
회귀,de,0,6,1,0.0,85.7
C,de,2,12,0,14.3,85.7
TensorFlow,de,2,12,0,14.3,85.7
ONNX,de,1,6,0,14.3,85.7
임베디드,de,1,6,0,14.3,85.7
GCP,de,9,57,1,13.4,85.1
협업커뮤니케이션,de,25,159,3,13.4,85.0
RAG,de,10,53,0,15.9,84.1
Azure,de,6,31,0,16.2,83.8
LLM,de,18,93,0,16.2,83.8
