canonical,직무,출현수,모집단수,출현율%,비고,순위
Python,ds,138,218,63.3,,1
협업커뮤니케이션,ds,128,218,58.72,,2
파이프라인설계운영,ds,87,218,39.91,,3
LLM,ds,77,218,35.32,,4
SQL,ds,72,218,33.03,,5
AI Agent,ds,70,218,32.11,,6
PyTorch,ds,55,218,25.23,,7
데이터품질관리,ds,53,218,24.31,,8
MLOps,ds,51,218,23.39,,9
AWS,ds,48,218,22.02,,10
대용량데이터처리,ds,48,218,22.02,,11
대시보드,ds,47,218,21.56,,12
통계분석,ds,45,218,20.64,,13
시계열분석,ds,43,218,19.72,,14
A/B테스트,ds,42,218,19.27,,15
모델서빙배포,ds,38,218,17.43,,16
RAG,ds,37,218,16.97,,17
TensorFlow,ds,35,218,16.06,,18
Git,ds,30,218,13.76,,19
파인튜닝,ds,30,218,13.76,,20
Airflow,ds,28,218,12.84,,21
Docker,ds,27,218,12.39,,22
Kubernetes,ds,27,218,12.39,,23
Spark,ds,25,218,11.47,,24
GCP,ds,24,218,11.01,,25
Snowflake,ds,23,218,10.55,,26
ComputerVision,ds,21,218,9.63,,27
데이터모델링,ds,20,218,9.17,,28
ETL/ELT,ds,19,218,8.72,,29
NLP,ds,19,218,8.72,,30
분류,ds,18,218,8.26,,31
Pandas,ds,18,218,8.26,,32
멀티모달,ds,17,218,7.8,,33
scikit-learn,ds,17,218,7.8,,34
BigQuery,ds,16,218,7.34,,35
Tableau,ds,16,218,7.34,,36
VectorDB,ds,14,218,6.42,,37
C,ds,14,218,6.42,,38
이상탐지,ds,14,218,6.42,,39
dbt,ds,14,218,6.42,,40
VLM,ds,13,218,5.96,,41
LLM평가,ds,13,218,5.96,,42
PostgreSQL,ds,13,218,5.96,,43
임베딩,ds,13,218,5.96,,44
NumPy,ds,13,218,5.96,,45
Azure,ds,12,218,5.5,,46
회귀,ds,12,218,5.5,,47
CI/CD,ds,11,218,5.05,,48
Kafka,ds,11,218,5.05,,49
R,ds,11,218,5.05,,50
Linux,ds,10,218,4.59,,51
FastAPI,ds,10,218,4.59,,52
MLflow,ds,10,218,4.59,,53
MCP,ds,10,218,4.59,,54
MySQL,ds,10,218,4.59,,55
C++,ds,9,218,4.13,,56
프롬프트엔지니어링,ds,9,218,4.13,,57
Tool Use,ds,9,218,4.13,,58
IoT,ds,9,218,4.13,,59
REST API,ds,8,218,3.67,,60
HuggingFace,ds,8,218,3.67,,61
Athena,ds,8,218,3.67,,62
PySpark,ds,8,218,3.67,,63
vLLM,ds,7,218,3.21,,64
PowerBI,ds,7,218,3.21,,65
Excel,ds,6,218,2.75,,66
Go,ds,6,218,2.75,,67
Databricks,ds,6,218,2.75,,68
Grafana,ds,6,218,2.75,,69
CNN,ds,6,218,2.75,,70
Prometheus,ds,6,218,2.75,,71
Redshift,ds,6,218,2.75,,72
RNN,ds,6,218,2.75,,73
LLM API,ds,5,218,2.29,,74
Java,ds,5,218,2.29,,75
ONNX,ds,5,218,2.29,,76
임베디드,ds,5,218,2.29,,77
Flink,ds,5,218,2.29,,78
Iceberg,ds,5,218,2.29,,79
JavaScript,ds,5,218,2.29,,80
MSA,ds,5,218,2.29,,81
Terraform,ds,4,218,1.83,,82
SpringBoot,ds,4,218,1.83,,83
Node.js,ds,4,218,1.83,,84
TypeScript,ds,3,218,1.38,,85
EdgeAI,ds,3,218,1.38,,86
